Sottostante,Ticker,RSS_URL
Nestle,NESN.SW,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NESN.SW&region=US&lang=en-US
Netflix,NFLX,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US
Nexi SpA,NEXI.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NEXI.MI&region=US&lang=en-US
Nike Inc,NKE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US
Nikkei 225,^N225,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^N225&region=US&lang=en-US
Nio Inc,NIO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NIO&region=US&lang=en-US
Novo-Nordisk B,NOVO-B.CO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NOVO-B.CO&region=US&lang=en-US
Oracle Corp,ORCL,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ORCL&region=US&lang=en-US
Oro,GC=F,https://feeds.finance.yahoo.com/rss/2.0/headline?s=GC=F&region=US&lang=en-US
Palantir Technologies Inc,PLTR,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PLTR&region=US&lang=en-US
Palladium,PA=F,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PA=F&region=US&lang=en-US
PayPal Holdings Inc,PYPL,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PYPL&region=US&lang=en-US
PepsiCo,PEP,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PEP&region=US&lang=en-US
Pfizer Inc,PFE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US
Pirelli & C.SPA,PIRC.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PIRC.MI&region=US&lang=en-US
Porsche AG VZ,P911.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=P911.DE&region=US&lang=en-US
Poste Italiane SpA,PST.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PST.MI&region=US&lang=en-US
Procter & Gamble,PG,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PG&region=US&lang=en-US
Prysmian,PRY.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=PRY.MI&region=US&lang=en-US
Qualcomm Inc,QCOM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=QCOM&region=US&lang=en-US
RUSSELL 2000 Index,^RUT,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^RUT&region=US&lang=en-US
Renault,RNO.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=RNO.PA&region=US&lang=en-US
Reply SpA,REY.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=REY.MI&region=US&lang=en-US
Rheinmetall,RHM.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=RHM.DE&region=US&lang=en-US
Robinhood Markets Inc,HOOD,https://feeds.finance.yahoo.com/rss/2.0/headline?s=HOOD&region=US&lang=en-US
S&P 500,^GSPC,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^GSPC&region=US&lang=en-US
